HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
6.344455e-01,1.942301e-01,1.942301e-01,5.302686e-01,1.569358e-01,1.998872e-01,8.530402e-02,1.023339e-01,4.402227e-02
6.328042e-01,1.707482e-01,1.707482e-01,5.290966e-01,1.763333e-01,1.513533e-01,5.328368e-02,9.669812e-02,3.835940e-02
6.299541e-01,1.536257e-01,1.536257e-01,5.220451e-01,1.823301e-01,1.008191e-01,4.461949e-02,9.459262e-02,3.622520e-02
6.234759e-01,1.337137e-01,1.337137e-01,5.104501e-01,1.779138e-01,8.920157e-02,7.293728e-02,9.675391e-02,3.834807e-02
6.210027e-01,1.333995e-01,1.333995e-01,5.052768e-01,1.621625e-01,8.886460e-02,1.034616e-01,1.047293e-01,4.630926e-02
6.279271e-01,1.568542e-01,1.568542e-01,5.162613e-01,1.294256e-01,9.050192e-02,1.162815e-01,1.204414e-01,6.205432e-02
6.350026e-01,1.890161e-01,1.890161e-01,5.213089e-01,5.302049e-02,9.308081e-02,9.974312e-02,1.405137e-01,8.216045e-02
5.736709e-01,2.272026e-01,2.272026e-01,5.217402e-01,         NaN,9.676657e-02,6.130216e-02,1.546327e-01,9.631561e-02
5.469618e-01,2.285890e-01,2.285890e-01,5.193307e-01,         NaN,9.746858e-02,1.567036e-02,1.698247e-01,1.115463e-01
5.328407e-01,2.565888e-01,2.741042e-01,4.945563e-01,         NaN,9.824750e-02,6.078777e-04,1.851074e-01,1.268677e-01
5.537357e-01,1.990174e-01,1.990174e-01,4.619517e-01,         NaN,9.876511e-02,1.354425e-04,1.974331e-01,1.392265e-01
5.760290e-01,2.846941e-02,2.846941e-02,4.174815e-01,         NaN,1.010060e-01,8.937522e-05,2.048503e-01,1.466710e-01
6.011478e-01,1.029008e-02,1.029008e-02,3.865738e-01,         NaN,1.007068e-01,5.306559e-05,2.064996e-01,1.483338e-01
6.132582e-01,1.108188e-02,1.108188e-02,3.610693e-01,         NaN,9.390695e-02,1.277056e-03,2.019876e-01,1.438249e-01
6.092796e-01,1.193294e-02,1.193294e-02,3.353765e-01,         NaN,8.750822e-02,3.358722e-02,1.937712e-01,1.355799e-01
5.852926e-01,1.284942e-02,1.284942e-02,3.098407e-01,         NaN,8.272850e-02,1.431567e-01,1.838555e-01,1.256442e-01
5.683715e-01,1.447373e-02,1.447373e-02,2.702633e-01,1.439756e-01,8.029021e-02,8.864912e-03,1.735760e-01,1.153162e-01
5.144906e-01,1.476799e-02,1.476799e-02,2.642685e-01,2.026681e-01,8.234543e-02,4.554980e-04,1.630285e-01,1.048013e-01
5.427478e-01,1.417917e-02,1.417917e-02,3.112551e-01,2.236152e-01,8.384298e-02,1.841926e-03,1.528982e-01,9.471144e-02
5.807726e-01,1.358854e-02,1.358854e-02,4.085770e-01,2.262311e-01,7.783065e-02,1.545196e-02,1.778804e-01,1.197235e-01
5.890479e-01,1.335060e-02,1.335060e-02,4.854106e-01,2.324919e-01,7.145025e-02,6.038039e-02,2.575006e-01,1.993711e-01
6.130034e-01,2.992043e-01,3.235826e-01,5.133904e-01,2.341771e-01,6.553381e-02,8.315725e-02,2.717836e-01,2.136800e-01
6.578025e-01,2.526402e-01,3.156351e-01,4.991112e-01,2.316546e-01,6.066769e-02,8.106321e-02,2.374826e-01,1.794044e-01
6.859694e-01,2.390099e-01,2.501769e-01,4.680489e-01,2.285304e-01,5.705823e-02,8.205764e-02,1.748402e-01,1.167861e-01
6.862647e-01,2.282636e-01,2.310048e-01,4.497964e-01,2.245990e-01,5.353341e-02,7.849172e-02,1.363012e-01,7.826724e-02
6.849442e-01,2.185669e-01,2.238722e-01,4.932188e-01,2.243226e-01,5.019747e-02,7.133386e-02,1.534949e-01,9.547243e-02
6.641363e-01,2.126897e-01,2.218896e-01,6.048253e-01,2.338081e-01,4.748660e-02,6.198647e-02,2.549353e-01,1.969146e-01
6.782737e-01,1.972772e-01,2.098453e-01,6.661567e-01,2.492168e-01,4.638859e-02,5.276569e-02,2.602964e-01,2.022728e-01
6.773469e-01,1.970612e-01,2.511096e-01,6.749355e-01,3.437739e-01,4.655134e-02,4.194494e-02,2.610856e-01,2.030592e-01
6.798434e-01,1.891863e-01,2.159365e-01,5.762145e-01,4.760416e-01,4.445938e-02,2.641470e-02,1.208867e-01,6.286309e-02
6.805671e-01,1.740149e-01,1.729329e-01,3.837888e-01,4.785255e-01,4.066733e-02,1.480888e-02,1.975655e-01,1.395395e-01
6.744879e-01,1.920485e-01,2.187491e-01,3.098226e-01,4.079529e-01,3.648150e-02,6.971785e-03,1.897966e-01,1.317704e-01
6.694656e-01,2.602629e-01,3.285403e-01,2.757258e-01,3.912926e-01,3.230121e-02,2.712870e-03,2.244971e-01,1.664792e-01
6.673367e-01,2.798435e-01,3.589191e-01,2.606160e-01,4.375017e-01,2.877051e-02,1.275317e-03,2.972316e-01,2.392319e-01
6.654057e-01,2.676995e-01,3.376883e-01,2.624532e-01,4.959078e-01,2.499257e-02,6.237235e-04,3.713455e-01,3.133816e-01
6.612752e-01,1.057731e-02,1.167939e-02,3.188714e-01,5.864935e-01,2.155614e-02,4.122226e-04,3.883942e-01,3.304939e-01
6.531600e-01,5.119562e-02,6.282191e-02,4.365415e-01,7.611710e-01,1.945524e-02,3.611751e-04,3.928666e-01,3.350568e-01
6.104166e-01,7.429950e-02,1.042295e-01,4.522057e-01,4.689266e-01,1.826483e-02,3.527364e-04,5.705925e-01,5.244435e-01
4.687411e-01,4.463912e-02,8.022207e-02,4.152875e-01,3.637453e-01,1.848597e-02,3.719171e-04,5.013477e-01,4.473719e-01
4.400221e-01,1.481660e-02,4.224548e-02,3.550953e-01,2.883956e-01,1.951039e-02,4.039720e-04,4.280233e-01,3.704499e-01
4.083418e-01,1.703922e-02,3.291185e-02,2.128949e-01,2.478180e-01,1.619552e-02,4.248122e-04,2.842438e-01,2.267148e-01
3.602614e-01,1.786466e-02,2.496492e-02,1.876381e-01,3.153882e-01,1.226250e-02,5.749580e-04,2.363205e-01,1.788261e-01
3.128614e-01,4.912003e-02,8.948703e-02,1.471035e-01,1.582086e-01,1.100973e-02,1.092061e-03,2.385227e-01,1.810322e-01
1.950954e-01,1.193609e-01,2.145918e-01,2.391740e-01,1.655581e-01,1.061613e-02,2.281251e-03,3.791114e-01,3.216209e-01
2.009689e-01,1.029413e-01,1.600842e-01,2.645283e-01,2.754906e-01,1.034126e-02,3.984601e-03,2.633328e-01,2.058424e-01
2.510345e-01,4.786075e-02,6.284402e-02,2.033567e-01,2.991504e-01,1.006198e-02,4.674817e-03,3.054938e-01,2.479591e-01
2.833180e-01,1.524827e-02,3.068987e-02,3.844206e-01,2.344242e-01,9.698526e-03,2.845005e-03,4.446129e-01,3.870207e-01
3.966265e-01,2.912957e-02,4.578538e-02,3.544498e-01,2.646481e-01,9.217267e-03,5.740211e-04,4.960359e-01,4.383923e-01
4.382832e-01,3.541505e-02,5.401087e-02,2.144063e-01,3.179635e-01,8.626549e-03,8.847581e-04,3.562087e-01,2.985638e-01
4.284553e-01,2.030122e-02,3.951218e-02,1.758999e-01,2.193833e-01,7.905881e-03,6.314927e-03,2.944065e-01,2.368082e-01
3.891079e-01,4.400471e-03,1.421058e-02,1.127257e-01,1.261326e-01,7.163991e-03,1.364528e-02,2.475181e-01,1.899891e-01
